"lav"	"gle"	"mkd"	"hbs"	"lat"	"hye"	"glg"	"ces"	"nno"	"nob"	"dan"	"gla"	"bul"	"swe"	"lit"	"deu"	"als"	"isl"	"rus"	"pol"	"ell"	"slk"	"hrv"	"fas"	"por"	"nld"	"slv"	"cat"	"spa"	"ita"	"ron"	"eng"	"fra"
"lav"	0	10	7	6	8	6	15	7	9	9	8	11	7	10	2	13	6	9	5	6	11	6	10	9	17	11	6	13	15	12	12	13	18
"gle"	10	0	13	12	12	10	19	13	13	13	12	3	13	14	10	17	10	13	11	12	15	12	16	13	21	15	12	17	19	16	16	17	22
"mkd"	7	13	0	5	11	9	18	8	12	12	11	14	2	13	7	16	9	12	6	7	14	7	9	12	20	14	5	16	18	15	15	16	21
"hbs"	6	12	5	0	10	8	17	7	11	11	10	13	5	12	6	15	8	11	5	6	13	6	4	11	19	13	2	15	17	14	14	15	20
"lat"	8	12	11	10	0	8	9	11	11	11	10	13	11	12	8	15	8	11	9	10	13	10	14	11	11	13	10	7	9	6	6	15	12
"hye"	6	10	9	8	8	0	15	9	9	9	8	11	9	10	6	13	6	9	7	8	11	8	12	9	17	11	8	13	15	12	12	13	18
"glg"	15	19	18	17	9	15	0	18	18	18	17	20	18	19	15	22	15	18	16	17	20	17	21	18	4	20	17	4	4	9	11	22	11
"ces"	7	13	8	7	11	9	18	0	12	12	11	14	8	13	7	16	9	12	6	5	14	3	11	12	20	14	7	16	18	15	15	16	21
"nno"	9	13	12	11	11	9	18	12	0	2	5	14	12	7	9	12	9	4	10	11	14	11	15	12	20	10	11	16	18	15	15	12	21
"nob"	9	13	12	11	11	9	18	12	2	0	5	14	12	7	9	12	9	4	10	11	14	11	15	12	20	10	11	16	18	15	15	12	21
"dan"	8	12	11	10	10	8	17	11	5	5	0	13	11	6	8	11	8	5	9	10	13	10	14	11	19	9	10	15	17	14	14	11	20
"gla"	11	3	14	13	13	11	20	14	14	14	13	0	14	15	11	18	11	14	12	13	16	13	17	14	22	16	13	18	20	17	17	18	23
"bul"	7	13	2	5	11	9	18	8	12	12	11	14	0	13	7	16	9	12	6	7	14	7	9	12	20	14	5	16	18	15	15	16	21
"swe"	10	14	13	12	12	10	19	13	7	7	6	15	13	0	10	13	10	7	11	12	15	12	16	13	21	11	12	17	19	16	16	13	22
"lit"	2	10	7	6	8	6	15	7	9	9	8	11	7	10	0	13	6	9	5	6	11	6	10	9	17	11	6	13	15	12	12	13	18
"deu"	13	17	16	15	15	13	22	16	12	12	11	18	16	13	13	0	13	12	14	15	18	15	19	16	24	12	15	20	22	19	19	14	25
"als"	6	10	9	8	8	6	15	9	9	9	8	11	9	10	6	13	0	9	7	8	11	8	12	9	17	11	8	13	15	12	12	13	18
"isl"	9	13	12	11	11	9	18	12	4	4	5	14	12	7	9	12	9	0	10	11	14	11	15	12	20	10	11	16	18	15	15	12	21
"rus"	5	11	6	5	9	7	16	6	10	10	9	12	6	11	5	14	7	10	0	5	12	5	9	10	18	12	5	14	16	13	13	14	19
"pol"	6	12	7	6	10	8	17	5	11	11	10	13	7	12	6	15	8	11	5	0	13	4	10	11	19	13	6	15	17	14	14	15	20
"ell"	11	15	14	13	13	11	20	14	14	14	13	16	14	15	11	18	11	14	12	13	0	13	17	14	22	16	13	18	20	17	17	18	23
"slk"	6	12	7	6	10	8	17	3	11	11	10	13	7	12	6	15	8	11	5	4	13	0	10	11	19	13	6	15	17	14	14	15	20
"hrv"	10	16	9	4	14	12	21	11	15	15	14	17	9	16	10	19	12	15	9	10	17	10	0	15	23	17	6	19	21	18	18	19	24
"fas"	9	13	12	11	11	9	18	12	12	12	11	14	12	13	9	16	9	12	10	11	14	11	15	0	20	14	11	16	18	15	15	16	21
"por"	17	21	20	19	11	17	4	20	20	20	19	22	20	21	17	24	17	20	18	19	22	19	23	20	0	22	19	6	6	11	13	24	13
"nld"	11	15	14	13	13	11	20	14	10	10	9	16	14	11	11	12	11	10	12	13	16	13	17	14	22	0	13	18	20	17	17	12	23
"slv"	6	12	5	2	10	8	17	7	11	11	10	13	5	12	6	15	8	11	5	6	13	6	6	11	19	13	0	15	17	14	14	15	20
"cat"	13	17	16	15	7	13	4	16	16	16	15	18	16	17	13	20	13	16	14	15	18	15	19	16	6	18	15	0	4	7	9	20	9
"spa"	15	19	18	17	9	15	4	18	18	18	17	20	18	19	15	22	15	18	16	17	20	17	21	18	6	20	17	4	0	9	11	22	11
"ita"	12	16	15	14	6	12	9	15	15	15	14	17	15	16	12	19	12	15	13	14	17	14	18	15	11	17	14	7	9	0	8	19	12
"ron"	12	16	15	14	6	12	11	15	15	15	14	17	15	16	12	19	12	15	13	14	17	14	18	15	13	17	14	9	11	8	0	19	14
"eng"	13	17	16	15	15	13	22	16	12	12	11	18	16	13	13	14	13	12	14	15	18	15	19	16	24	12	15	20	22	19	19	0	25
"fra"	18	22	21	20	12	18	11	21	21	21	20	23	21	22	18	25	18	21	19	20	23	20	24	21	13	23	20	9	11	12	14	25	0
